2.8, 0.1
2.7, 0.1
2.7, 0.1
4.3, 1.8
6.4, 2.4
8.4, 4.5
10.3, 4.7
12.2, 6.9
13.9, 6.9
15.9, 8.5
17.8, 8.9
19.4, 9.2
20.8, 12.2
20.4, 12.2
20.9, 12.3
20.2, 12.3
19.9, 12.3
19.6, 12.3
19.3, 12.3
19.0, 12.3
18.7, 12.3
18.4, 12.3
18.3, 12.3
18.3, 12.3
18.1, 12.3
17.8, 12.3
18.7, 10.5
19.9, 12.3
21.0, 12.5
22.1, 14.6
22.5, 14.6
22.2, 14.6
23.2, 12.4
24.2, 14.6
25.2, 10.6
26.2, 12.5
26.5, 12.5
26.2, 12.5
25.9, 12.5
26.1, 12.5
26.0, 12.5
25.7, 12.5
25.4, 12.5
25.1, 12.5
24.8, 12.5
24.5, 12.5
24.3, 12.5
24.0, 12.5
23.7, 12.5
23.5, 12.5
23.3, 12.5
23.0, 12.5
22.8, 12.5
23.5, 10.6
24.3, 12.5
25.1, 12.4
25.8, 12.6
26.3, 12.6
26.1, 12.6
25.9, 12.6
25.6, 12.6
25.1, 12.6
24.9, 12.6
25.3, 12.6
25.1, 12.6
24.9, 12.6
24.6, 12.6
24.4, 12.6
24.2, 12.6
24.0, 12.6
23.8, 12.6
23.6, 12.6
23.4, 12.6
23.2, 12.6
23.0, 12.6
22.8, 12.6
22.6, 12.6
22.4, 12.6
22.2, 12.6
22.1, 12.6
22.6, 10.7
23.3, 12.5
23.9, 12.5
24.5, 14.7
24.7, 14.7
24.6, 14.7
24.7, 14.7
24.5, 14.7
24.4, 14.7
24.2, 14.7
24.0, 14.7
23.8, 14.7
23.7, 14.7
23.5, 14.7
23.3, 14.7
23.6, 12.5
24.1, 10.8
24.6, 12.6
24.4, 12.6
24.8, 12.6
24.6, 12.6
24.4, 12.6
24.3, 12.6
23.9, 12.6
23.8, 12.6
23.6, 12.6
23.5, 12.6
23.3, 12.6
23.2, 12.6
23.0, 12.6
22.9, 12.6
22.7, 12.6
22.8, 12.6
22.7, 12.6
22.5, 12.6
22.4, 12.6
22.3, 12.6
22.1, 12.6
22.2, 12.6
22.1, 12.6
21.9, 12.6
21.8, 12.6
21.9, 12.6
21.7, 12.6
21.8, 12.6
22.2, 12.8
22.7, 12.5
23.1, 13.1
23.5, 14.7
23.4, 14.7
23.2, 14.7
23.7, 10.7
24.1, 12.5
24.2, 12.6
24.2, 12.6
24.1, 12.6
23.9, 12.6
24.0, 12.6
23.9, 12.6
23.7, 12.6
23.9, 12.6
24.3, 12.6
24.1, 12.6
24.0, 12.6
23.9, 12.6
23.8, 12.6
23.6, 12.6
23.4, 12.6
23.3, 12.6
23.2, 12.6
23.0, 12.6
22.9, 12.6
22.8, 12.6
22.7, 12.6
22.6, 12.6
22.5, 12.6
22.4, 12.6
22.2, 12.6
22.1, 12.6
22.0, 12.6
21.9, 12.6
21.8, 12.6
21.7, 12.6
21.6, 12.6
21.5, 12.6
21.4, 12.6
21.3, 12.6
21.2, 12.6
21.1, 12.6
21.0, 12.6
20.9, 12.6
20.8, 12.6
20.7, 12.6
20.6, 12.6
20.5, 12.6
20.4, 12.6
20.4, 12.6
20.3, 12.6
20.2, 12.6
20.1, 12.6
20.0, 12.6
19.9, 12.6
20.3, 10.9
20.6, 12.7
20.8, 12.7
20.7, 12.7
20.6, 12.7
20.5, 12.7
20.4, 12.7
20.4, 12.7
20.3, 12.7
20.2, 12.7
20.0, 12.7
20.1, 12.7
20.0, 12.7
19.9, 12.7
19.9, 12.7
19.9, 12.7
19.8, 12.7
19.7, 12.7
19.7, 12.7
19.7, 12.7
19.6, 12.7
19.7, 12.7
