2.6, 0.1
2.5, 0.1
2.6, 0.1
4.6, 1.9
6.5, 2.7
8.3, 4.5
10.1, 5.9
11.8, 5.0
13.7, 7.4
15.6, 7.8
17.1, 8.3
21.5, 11.5
30.4, 11.7
37.2, 11.7
38.7, 11.8
38.1, 11.8
45.5, 11.8
50.5, 12.1
53.1, 12.1
57.9, 12.1
60.6, 12.1
62.7, 12.1
61.8, 12.1
60.9, 12.1
60.1, 12.1
59.3, 12.1
58.5, 12.1
57.7, 12.1
57.0, 12.1
57.9, 12.1
64.3, 12.1
69.1, 12.1
68.2, 12.1
67.4, 12.1
66.6, 12.1
66.9, 10.1
67.4, 12.3
67.8, 12.4
69.0, 14.5
74.8, 14.5
78.7, 14.5
82.1, 14.5
87.3, 14.5
90.9, 14.5
92.4, 14.5
91.4, 14.5
91.0, 12.3
91.2, 12.9
91.3, 10.3
91.4, 10.7
95.2, 12.3
97.8, 12.3
100, 12.3
103, 12.3
107, 12.3
110, 12.3
112, 12.3
112, 12.3
110, 12.3
109, 12.3
109, 12.3
113, 12.3
114, 12.3
116, 12.3
118, 12.3
119, 12.3
120, 12.3
124, 12.3
126, 12.3
128, 12.3
126, 12.3
125, 12.3
124, 12.3
123, 12.3
122, 12.3
121, 12.3
120, 12.3
119, 12.3
119, 12.3
118, 12.3
117, 12.3
116, 12.3
115, 12.3
115, 10.4
115, 12.3
115, 10.5
116, 12.3
119, 12.3
122, 12.3
126, 12.3
127, 12.3
129, 12.3
129, 10.2
129, 12.3
132, 12.3
134, 12.3
137, 12.3
139, 12.3
141, 12.3
141, 12.3
140, 12.3
139, 12.3
138, 12.3
137, 12.3
137, 12.3
138, 12.3
140, 12.3
141, 12.3
141, 12.9
142, 12.9
142, 12.9
143, 13.0
144, 13.0
144, 13.0
145, 13.0
145, 13.0
145, 13.0
145, 13.0
144, 13.0
143, 13.0
142, 13.0
141, 13.0
140, 13.0
140, 13.0
139, 13.0
138, 13.0
137, 13.0
136, 13.0
136, 13.0
135, 13.0
134, 13.0
